지점,일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%)
108,2017-01-01,2.7,-1.6,6.9,,1.5,75.9
108,2017-01-02,5,1.8,9.2,.3,2.1,77.8
108,2017-01-03,2,-2.3,7.7,,1.8,61.8
108,2017-01-04,3.9,1,8.9,,1.7,55
108,2017-01-05,3.8,-.1,7.3,,3.1,52.3
108,2017-01-06,5.4,2.5,11.4,,2.4,58.5
108,2017-01-07,4.6,0,10.5,,1.4,64.9
108,2017-01-08,6.5,4,10.9,0,2.6,61.4
108,2017-01-09,1.5,-3.1,4.3,0,3.3,60.8
108,2017-01-10,-3.7,-7.4,1.1,,3.2,45.1
108,2017-01-11,-3.8,-9.4,1.5,,2.1,36.4
108,2017-01-12,-2.2,-6.1,1,0,3.1,43.1
108,2017-01-13,-6,-8.6,-1.4,.6,2.9,47.4
108,2017-01-14,-8.4,-10.5,-5.4,,3.8,33.3
108,2017-01-15,-6.6,-11.5,-.9,,2.3,35.3
108,2017-01-16,-3.8,-8.9,4,,1.4,37.6
108,2017-01-17,-2,-7.1,3.4,,1.5,46.6
108,2017-01-18,-.5,-3,2.8,0,1.3,68.9
108,2017-01-19,-1.2,-4.9,4.7,,1.6,55.4
108,2017-01-20,-4.4,-7.8,-1.4,4,3,70.3
108,2017-01-21,-5.2,-10,-.9,2.1,1.6,78.1
108,2017-01-22,-8.3,-10.9,-3.3,0,3.8,51.3
108,2017-01-23,-8.9,-12.6,-4.1,,2.2,48.4
108,2017-01-24,-7,-11.6,-1.3,,2,49.6
108,2017-01-25,-5.2,-10.2,.9,,1.5,50.6
108,2017-01-26,-1.3,-7.9,3.4,.3,2.2,64.4
108,2017-01-27,-2.6,-5.7,3.1,3,3.4,47.3
108,2017-01-28,-1.6,-8.2,4.3,,1.7,38
108,2017-01-29,.8,-.9,2.5,4.5,1.8,71.1
108,2017-01-30,-4.8,-7.9,-.9,.1,3.3,61.4
108,2017-01-31,-5.4,-9.9,.2,,1.7,44.8
108,2017-02-01,-4,-7.5,.7,,2.5,44.5
108,2017-02-02,-2.7,-9.2,3.3,,2.7,52.9
108,2017-02-03,1.5,-2.3,6.7,,1.5,65.4
108,2017-02-04,.9,-2.9,3.2,,1.6,69.4
108,2017-02-05,1.2,-1.5,2.3,.5,2.1,75.3
108,2017-02-06,-1.7,-4.4,2.6,,3,51
108,2017-02-07,-2,-5.6,3,,1.5,45.4
108,2017-02-08,-2.2,-4.9,.6,,2,50.1
108,2017-02-09,-5.3,-7.1,-2.1,,3.8,47
108,2017-02-10,-6.6,-9.3,-2.5,,4.1,44.3
108,2017-02-11,-4.8,-9.2,.8,,2.8,45.4
108,2017-02-12,-2.2,-7.4,4.2,,2.1,51.3
108,2017-02-13,.1,-5.4,6.1,,1.6,59.6
108,2017-02-14,.3,-4,6.5,,2.5,46
108,2017-02-15,1.8,-3.9,8,,1.4,52.1
108,2017-02-16,5.5,-1.9,10.3,0,2,63.9
108,2017-02-17,.8,-5.2,9,4,3.9,56.9
108,2017-02-18,-2.6,-7,2.9,,2.8,49.4
108,2017-02-19,2.3,-3.4,5.7,1,1.9,68
108,2017-02-20,-1.5,-5.2,5.4,.5,4.2,53.8
108,2017-02-21,-.6,-7.6,6.9,,1.6,37.1
108,2017-02-22,1.7,-.9,2.9,5.1,2.7,70.8
108,2017-02-23,-1.5,-4.2,2.1,,3.8,56.4
108,2017-02-24,-.8,-5.8,4.4,,2.2,51.3
108,2017-02-25,2.6,-2.8,8.4,,2.3,63.6
108,2017-02-26,3.6,-1.5,10.1,,2.1,52.8
108,2017-02-27,3.7,-1.8,10.7,,1.8,37.4
108,2017-02-28,5.6,-1.3,12.3,,2,41.5
108,2017-03-01,5,2,11.4,5,1.8,65
108,2017-03-02,1.8,-1.1,6.6,.5,3.1,59.5
108,2017-03-03,3.3,-3.1,10.4,,2.1,54.4
108,2017-03-04,5.7,.1,12.7,,1.6,60
108,2017-03-05,5.2,1.2,10.4,.5,2.1,71.6
108,2017-03-06,.1,-2.8,4,,4,41.3
108,2017-03-07,-1.3,-4,2.9,0,3.9,37.5
108,2017-03-08,-.1,-5.3,5,0,3.1,50.6
108,2017-03-09,3.2,-2.7,10.7,,3.1,47.3
108,2017-03-10,4.8,-1.2,12.2,,2.2,37.4
108,2017-03-11,7.3,-.2,16.7,,1.8,37.4
108,2017-03-12,8.2,4.4,14,0,2,58.4
108,2017-03-13,6.9,1.5,12.2,,2.5,49.8
108,2017-03-14,5.8,1,10.9,,3.2,37.5
108,2017-03-15,6.3,.4,13.3,,2.1,34.9
108,2017-03-16,6.2,1,13.4,,1.9,41.8
108,2017-03-17,7.7,1.2,15.7,,2,43.1
108,2017-03-18,9.5,5.9,16.1,,2.3,34.1
108,2017-03-19,10.9,3.2,18.9,,1.6,36
108,2017-03-20,10.2,6,15.5,,1.8,40.4
108,2017-03-21,7.4,4.3,12.6,,3.1,48.1
108,2017-03-22,7.6,1.9,14.1,,2.5,32.8
108,2017-03-23,9.1,5.1,15,,2.2,34
108,2017-03-24,8.7,3.9,15.2,,2.1,41.4
108,2017-03-25,8.1,5,12.6,,2.1,41.1
108,2017-03-26,7.3,4.8,11.6,,2.2,53.1
108,2017-03-27,6.1,4.4,10.9,.4,2.5,67.4
108,2017-03-28,7.1,2.5,12.7,,1.9,59.8
108,2017-03-29,8.8,4.7,14.4,,2.3,54.9
108,2017-03-30,10.6,4.1,17.1,,1.9,50
108,2017-03-31,8.6,4.9,12.4,1.5,2.4,70.6
108,2017-04-01,9,4.8,15.1,1,2.1,60.5
108,2017-04-02,9,3.1,15.8,,2.1,53.1
108,2017-04-03,11.4,4.3,19.2,,2.1,45.6
108,2017-04-04,14.1,6.7,21.8,,2,35.3
108,2017-04-05,12,10.8,14.2,37.5,2.4,66
108,2017-04-06,10.4,9.4,12.4,3,2.4,90
108,2017-04-07,14.5,9,23.5,,2.1,68.1
108,2017-04-08,13,8.6,19.9,.5,2.5,74.5
108,2017-04-09,14.8,10.6,20.5,.5,2.8,59.6
108,2017-04-10,16.5,10.1,23.3,,2.8,25.8
108,2017-04-11,15.3,11.5,20.2,,3.2,36.8
108,2017-04-12,11.5,8.8,16.4,,3.7,21.8
108,2017-04-13,12.7,6.3,19.6,0,2.5,54
108,2017-04-14,13,10.1,17.7,6,3.5,57.9
108,2017-04-15,16.8,10.9,24.3,,2.2,59.4
108,2017-04-16,18.7,12.9,24.4,,1.4,52.9
108,2017-04-17,14.7,11.2,18,5.5,2.2,66.5
108,2017-04-18,11.7,9.4,17.4,7.5,2.5,76.5
108,2017-04-19,12.6,7,18.4,,2.9,43.1
108,2017-04-20,12.9,9.9,18.2,.1,2.3,45.4
108,2017-04-21,13.1,7.6,19.3,,2,56.5
108,2017-04-22,14.8,8.5,22.5,,2.1,48.4
108,2017-04-23,14.9,8.9,21.7,,2.4,40
108,2017-04-24,15.1,8.3,21.3,,2.7,39.4
108,2017-04-25,16,12.9,20.4,,2.7,56.8
108,2017-04-26,15.1,10.5,20.2,,3.3,36
108,2017-04-27,13.6,7.9,19.8,,3.3,41.8
108,2017-04-28,14.4,8.9,21.5,,3,57.3
108,2017-04-29,17.1,9.6,23.7,,2.7,44.3
108,2017-04-30,19.3,13.7,27.8,,2.6,57.9
108,2017-05-01,20.1,12.8,28.3,,1.9,50.8
108,2017-05-02,20.7,15.2,28,,2.1,42
108,2017-05-03,21.5,14.5,30.2,,2,34.1
108,2017-05-04,21,14.8,27.5,,2,43.6
108,2017-05-05,20.9,15.5,27,,3.2,53.4
108,2017-05-06,14.9,10,19.3,,3.8,32
108,2017-05-07,16.6,10.9,22.8,,3.2,42.6
108,2017-05-08,17.9,11.1,23.5,,2.1,43.6
108,2017-05-09,17.1,15.3,22.6,2.5,1.6,62.6
108,2017-05-10,16.4,14.2,20.8,2.5,2.5,73
108,2017-05-11,19.3,13.1,24.8,0,1.8,65.3
108,2017-05-12,19.1,16.8,21.1,,2.1,71.6
108,2017-05-13,16.4,12.4,22.6,6,3.1,77.8
108,2017-05-14,15.7,11,20.7,,3.7,58.3
108,2017-05-15,16,12.3,20.1,0,2.8,61.4
108,2017-05-16,17.1,13.3,22.3,,2,60.5
108,2017-05-17,18.6,12.3,25.9,,2.1,51.5
108,2017-05-18,20.4,13.9,26.9,,2.3,41.9
108,2017-05-19,21.1,15.1,27.9,,2.6,42.6
108,2017-05-20,20.9,15.4,27.3,,2.4,44
108,2017-05-21,21.5,16,27.6,,2.3,48.1
108,2017-05-22,21.8,15.9,28,,2,53.6
108,2017-05-23,20,17.2,24.4,5,1.9,68
108,2017-05-24,21.8,16.9,27.8,.1,2,60.4
108,2017-05-25,19.2,14.4,24.4,,3.4,45.6
108,2017-05-26,17.7,12.4,23.2,,2.9,41.5
108,2017-05-27,19.5,13.7,26.4,,2.2,46.1
108,2017-05-28,21.2,14.4,27.9,,2.7,50.6
108,2017-05-29,22.9,18.1,29.3,,2.3,61.8
108,2017-05-30,23.6,18.6,30.3,,2.4,43.5
108,2017-05-31,23.3,17.7,29.6,,1.9,49.1
108,2017-06-01,23.3,20,27,,3.1,51.8
108,2017-06-02,20.5,15.5,25.6,0,2.8,37.4
108,2017-06-03,20.5,16.1,26.5,,3,44
108,2017-06-04,21.7,15.1,28.1,,2.6,36.9
108,2017-06-05,24.2,16.4,30.3,0,1.9,33.3
108,2017-06-06,19.4,14.5,23.9,15.5,2.5,60
108,2017-06-07,17.6,15.1,19.2,12.5,2.4,91.4
108,2017-06-08,20.1,15.1,25.9,,2.8,67.3
108,2017-06-09,21.2,17.9,25.7,.1,3.3,69.8
108,2017-06-10,21.5,16.7,27.5,4.5,2.3,46.8
108,2017-06-11,22.8,14.8,29.6,,2.2,33.8
108,2017-06-12,22.1,17,28,,2.8,45.5
108,2017-06-13,21.5,18.3,25.9,0,2.4,63
108,2017-06-14,21.8,17.8,26.8,,2.8,63
108,2017-06-15,23.1,18,29.6,,2.5,62.4
108,2017-06-16,25.5,20,32.7,,2.2,55.8
108,2017-06-17,24.2,20.6,29.9,,2.4,52.3
108,2017-06-18,24.3,18.6,31.8,,2.3,52
108,2017-06-19,24.8,19.5,30.2,,1.8,50.9
108,2017-06-20,26,20,32.7,0,2.1,43.4
108,2017-06-21,25.4,21.7,31.6,0,2.9,52.6
108,2017-06-22,25.3,21.2,30.4,,2.5,57.3
108,2017-06-23,26.7,21.3,34.1,,2,53
108,2017-06-24,24.5,21.5,27.8,3.5,1.2,60.4
108,2017-06-25,23.8,21,28.4,1.5,1.5,75.4
108,2017-06-26,23.1,20.1,29.9,29,2.2,76.9
108,2017-06-27,25.2,20.8,30.5,0,2.2,67.5
108,2017-06-28,26,22.5,30.5,,2.1,63.5
108,2017-06-29,26.2,21.9,31.5,,2.2,64.8
108,2017-06-30,25.9,22.2,30.9,,2.2,65.9
108,2017-07-01,25.3,22.4,30.7,.5,2,73.6
108,2017-07-02,24.3,21.9,26.8,92,2.5,90.5
108,2017-07-03,24.7,21.9,27.4,67.5,3.5,87.6
108,2017-07-04,26.7,23.8,31.6,.5,2,74.5
108,2017-07-05,27.4,23.3,32.6,,1.5,66.9
108,2017-07-06,27.6,23.9,34.6,34,1.7,72.3
108,2017-07-07,26.4,24.4,28.4,16.5,2,80.8
108,2017-07-08,26,24.6,27.6,4.5,2.6,83.3
108,2017-07-09,26.3,23.8,30.3,32.5,1,88
108,2017-07-10,24,22.6,25.4,144.5,2.3,96.5
108,2017-07-11,26,22.2,30.9,1,2.1,81.4
108,2017-07-12,27.1,24.9,31.1,0,2.3,75.9
108,2017-07-13,27.6,23.1,32.1,,1.5,71
108,2017-07-14,28.7,26.1,33,0,2.1,68.4
108,2017-07-15,25,23.4,27.3,42.5,2.2,89
108,2017-07-16,26.2,23.4,28.8,22.5,1.4,83.4
108,2017-07-17,26.8,24,29,7.5,2,77.3
108,2017-07-18,26.5,23.9,30.7,2.5,1.6,80.6
108,2017-07-19,28.3,24.5,34.1,,1.8,71.4
108,2017-07-20,29.9,26,34.9,,2.2,66.1
108,2017-07-21,29.8,27.3,32.4,,2.5,73.1
108,2017-07-22,29.3,27.5,32.5,.5,2.3,75.8
108,2017-07-23,27,26.1,28.1,133.5,2.1,89.5
108,2017-07-24,26.2,25.6,27.3,3,1.2,82.3
108,2017-07-25,29.4,24.6,35.4,,1.9,64.1
108,2017-07-26,28.7,24.2,32.8,,2.7,55.6
108,2017-07-27,27.1,24.9,29.7,3.5,1.9,62.5
108,2017-07-28,25.5,24.8,26.9,8.5,1.5,92.1
108,2017-07-29,27.2,25,30.1,0,2.3,72.3
108,2017-07-30,27.9,24.7,32.6,,1.9,64.4
108,2017-07-31,25.7,24.8,27.1,3.5,1.4,82.3
108,2017-08-01,28.6,24.1,33,2,1.7,73
108,2017-08-02,30,26.6,33,,1.3,71.9
108,2017-08-03,30.2,27.2,33.9,,2.2,60.6
108,2017-08-04,30.3,25.9,35.3,,2.1,60.1
108,2017-08-05,31.4,27.6,34.8,0,1.9,63
108,2017-08-06,29.8,28.2,34,5,1.9,71.9
108,2017-08-07,29.2,26.4,34.4,,2.4,68.1
108,2017-08-08,28.2,25.5,31,,1.9,67.1
108,2017-08-09,27.6,24.6,32,2.5,2.3,66.4
108,2017-08-10,24.8,23.9,26.3,5.5,2,89.9
108,2017-08-11,27,23.9,32.4,.5,2.3,72.5
108,2017-08-12,27.8,23.2,32.6,,2.1,60.3
108,2017-08-13,26.3,24.2,28.4,0,2.8,62.1
108,2017-08-14,24.6,23.1,27.1,1.5,3.6,67.5
108,2017-08-15,21.9,20.8,24,93.5,3.6,93.8
108,2017-08-16,23.3,20.5,26.8,2,3.7,80.5
108,2017-08-17,24.8,21.2,27.7,.5,2.1,77.1
108,2017-08-18,26.3,23.9,30.6,0,1.3,75.6
108,2017-08-19,26.1,23.1,28.7,0,2,75.8
108,2017-08-20,23.2,22,25.8,124.5,2.9,95.6
108,2017-08-21,25.8,23.7,29.2,5,2.4,81.5
108,2017-08-22,27.3,23.4,31.5,,1.9,70.6
108,2017-08-23,27.2,24.6,30.2,31.5,2.6,84.1
108,2017-08-24,26.5,23.9,28.1,14,4,85.3
108,2017-08-25,25.3,22.2,30.6,,1.7,61.9
108,2017-08-26,24.2,19,29.2,,2,54.5
108,2017-08-27,22.7,19,26.7,0,1.4,62
108,2017-08-28,21.5,18.3,26.5,9,1.5,73.1
108,2017-08-29,19.5,17,24,,3.2,51.4
108,2017-08-30,19.8,16.1,23.9,,1.5,55.8
108,2017-08-31,22.2,16.6,27.6,,1.6,62.4
108,2017-09-01,23.3,17.1,29.7,,2.2,56
108,2017-09-02,23.8,18.6,29.6,,1.8,59
108,2017-09-03,23.7,19,29.2,,1.6,64
108,2017-09-04,24.6,19.7,30.1,,1.6,53.8
108,2017-09-05,21.9,20.4,23.7,0,1.7,62.4
108,2017-09-06,20.6,18.5,24,2,1.2,75.5
108,2017-09-07,22.4,17.8,27.5,,1.4,73.3
108,2017-09-08,24.3,20.4,29.9,,1.7,67.5
108,2017-09-09,23.8,19.2,28.2,,1.4,70.1
108,2017-09-10,23,19.9,26.1,.5,1.4,74.3
108,2017-09-11,21.2,18.6,24.6,24,1.7,79.8
108,2017-09-12,22.1,17.7,27.9,,1.9,58.6
108,2017-09-13,21.4,15.9,27.5,,1.9,49.3
108,2017-09-14,22.4,14.8,29.5,,1.7,48.8
108,2017-09-15,22.6,17.8,27.9,,3.6,48.4
108,2017-09-16,22,16.7,27.6,,3.6,50.9
108,2017-09-17,23.1,19,29.2,,2.7,51.3
108,2017-09-18,21.9,16.4,27.6,,2.1,62.8
108,2017-09-19,22.6,20.1,25.8,8,3,79.1
108,2017-09-20,19.5,14.1,24.9,,2.4,48.9
108,2017-09-21,20.3,14.2,27,,1.6,57.3
108,2017-09-22,20.6,15.4,26.8,,2.1,60.8
108,2017-09-23,21.8,17.6,27.3,0,1.6,69.8
108,2017-09-24,22.4,18.8,27.9,0,2,71.5
108,2017-09-25,23.4,17.4,30.1,,1.4,58
108,2017-09-26,25.1,19.4,31.4,0,1.9,57
108,2017-09-27,22.7,19.9,27.3,.5,1.7,66.4
108,2017-09-28,19.2,14.2,25.3,,2.8,49.1
108,2017-09-29,17.4,11.2,23.5,,2.2,39.3
108,2017-09-30,20,14.7,25.9,,1.5,64.9
108,2017-10-01,18.2,15.5,21.2,4,2.3,74.8
108,2017-10-02,22,15.6,29.4,1.5,2.3,62.3
108,2017-10-03,17.6,13.4,23.6,,2.3,49.8
108,2017-10-04,16.7,10.7,24.3,,1.8,48.5
108,2017-10-05,18.7,13.9,23.4,,2.1,56.4
108,2017-10-06,18.9,16.2,23.3,.5,2.3,66.4
108,2017-10-07,21.9,16.9,28.8,0,1.2,67.6
108,2017-10-08,23,19.3,28.7,,1.4,66.9
108,2017-10-09,22.5,19.8,27.6,0,1.5,66
108,2017-10-10,21.4,18.6,24.8,.4,1.3,76.9
108,2017-10-11,15.5,12.2,21.7,20,2.9,77.1
108,2017-10-12,11.4,8.8,,,2,71
108,2017-10-13,12.8,6.1,18.9,,3.2,51
108,2017-10-14,14.4,9,20.5,,,42.8
108,2017-10-15,15.8,9,23,,1.7,42.5
108,2017-10-16,16.6,13.6,22,,1.7,47.6
108,2017-10-17,16.2,9.2,23.9,,1.3,47.1
108,2017-10-18,16.5,14.2,19.1,.1,2.4,58.8
108,2017-10-19,17,11.9,23.2,,1.8,58.3
108,2017-10-20,17,11.1,24.2,,1.5,58.6
108,2017-10-21,17.6,11,25.2,,1.3,52.8
108,2017-10-22,16.3,11,23.5,,3.1,50.4
108,2017-10-23,13.7,8.6,20.6,,1.4,47
108,2017-10-24,14.4,9.9,20.9,,1.9,54.3
108,2017-10-25,14.4,9.5,20.6,,1.5,59
108,2017-10-26,14.5,10.7,18.1,,1.2,56.5
108,2017-10-27,16.9,11.9,24.2,,1.2,54.4
108,2017-10-28,17.2,10.6,24.8,,2,51.9
108,2017-10-29,11.5,6.3,17.2,,3.3,45.6
108,2017-10-30,7.7,2.5,13.2,,2.4,27.4
108,2017-10-31,10.4,3.6,16,,1.8,54.3
108,2017-11-01,14.4,11.5,18.1,,2.1,72.4
108,2017-11-02,15.5,14,18,1,1.6,78.8
108,2017-11-03,12.3,6.1,16.6,1.5,3.2,66
108,2017-11-04,7.8,4.5,13.7,,2.5,47.9
108,2017-11-05,8.4,2.6,15.4,,1.5,52.5
108,2017-11-06,11.4,8,16.5,,1.5,64.5
108,2017-11-07,14.4,9.2,18.4,0,1.5,61.4
108,2017-11-08,13.1,6.9,17.2,0,3,53.3
108,2017-11-09,9.4,3.7,16.8,,1.2,39.6
108,2017-11-10,9.8,5.3,15.9,7.5,3,56.3
108,2017-11-11,5.9,2.7,10.7,,2.2,42.9
108,2017-11-12,5.3,.3,11.4,,1.4,57.1
108,2017-11-13,8.4,3.1,11.8,4.5,1.9,64.4
108,2017-11-14,7.5,2.9,11.4,,2.4,42.5
108,2017-11-15,3.2,-1.1,6.5,,2.8,38.3
108,2017-11-16,1,-3.4,6.4,,1.5,30.3
108,2017-11-17,3,-1.6,5.8,0,2.2,39.4
108,2017-11-18,-2.1,-4.8,2.6,,3.4,38.5
108,2017-11-19,-1.6,-6.6,3.5,,2.2,37.8
108,2017-11-20,-.4,-3.9,4.2,0,1.4,55.3
108,2017-11-21,1.3,-4.2,8.1,,1.4,55.6
108,2017-11-22,4.3,.6,10.8,.5,2.4,54.8
108,2017-11-23,.9,-2.5,4.7,1.2,2.1,49.3
108,2017-11-24,-.4,-2.5,2.9,0,1.8,62.5
108,2017-11-25,3,-3.3,7.3,24,1.8,77.6
108,2017-11-26,3.3,-.3,7.6,,1.8,71.6
108,2017-11-27,2.5,-2.9,9.5,,1.3,53
108,2017-11-28,6.4,1.3,11.2,.5,1.1,64.1
108,2017-11-29,3.2,-1.8,8.1,0,2.8,48.3
108,2017-11-30,-2.4,-5.2,2.7,,3.3,26.8
108,2017-12-01,-2.2,-7.6,3.1,0,1.6,49.4
108,2017-12-02,1.9,-4.6,8.1,,1.7,59.9
108,2017-12-03,4.9,3.1,8.1,4,1.5,83.1
108,2017-12-04,-1.2,-6.1,4.5,.1,3.4,48.1
108,2017-12-05,-4.2,-8.2,-.4,.1,,40.1
108,2017-12-06,.2,-4.5,6,1.2,,72.6
108,2017-12-07,.7,-3.5,4.6,,1.7,64.5
108,2017-12-08,-3.8,-7.1,-.5,,1.8,41.3
108,2017-12-09,-.5,-5.6,5.4,,1,46.1
108,2017-12-10,1.1,-2.5,6.7,4.1,2,67.9
108,2017-12-11,-7,-11,-2.5,,3.5,40.5
108,2017-12-12,-9.4,-12.3,-5.2,,2.1,41.9
108,2017-12-13,-8.7,-12,-4.4,,1.7,42
108,2017-12-14,-6.6,-11.2,-1.9,,.9,42.9
108,2017-12-15,-3,-7.5,.9,0,1,52.6
108,2017-12-16,-5.7,-8.1,-2.6,,3,43.1
108,2017-12-17,-6.7,-10.8,-2.3,,1.9,38.1
108,2017-12-18,-1.6,-5.9,3.3,3.4,1.2,80
108,2017-12-19,-3.9,-6.5,-1,,2.1,49.4
108,2017-12-20,-3.9,-8.5,-.1,.2,1.1,68
108,2017-12-21,-.9,-5.6,4.6,,1.2,71.4
108,2017-12-22,3.4,-1.9,6.6,,1.1,66.6
108,2017-12-23,6.1,5,8.7,,1.1,75.8
108,2017-12-24,2.9,-.6,5.7,20,1.9,82
108,2017-12-25,-2.1,-4.9,.6,,2.8,43.1
108,2017-12-26,-3.8,-7.9,-1.1,,2.9,41.8
108,2017-12-27,-6.9,-10.3,-2.6,,1.9,31.4
108,2017-12-28,-2.1,-6.8,.8,0,1.3,47
108,2017-12-29,2.1,-.4,6,0,1.1,67
108,2017-12-30,1.4,-1.2,4.5,.7,.9,79.5
108,2017-12-31,-.3,-3.2,3.3,1,2.3,54.4
108,2018-01-01,-1.3,-5.1,3.8,,1.4,39.1
108,2018-01-02,-1.8,-4.3,1.8,,1.8,42
108,2018-01-03,-4.7,-7.1,-.4,,2.2,42.3
108,2018-01-04,-4.7,-8.7,-.7,,1.4,43
108,2018-01-05,-3,-5.6,1.6,,1.7,48.4
108,2018-01-06,-2.8,-6.8,2.9,,1.5,45.8
108,2018-01-07,-.8,-5.7,2.8,,.8,42.1
108,2018-01-08,1.3,-1.2,4,.9,1.8,51.9
108,2018-01-09,-4.2,-6.1,-1.2,.5,2.9,59.4
108,2018-01-10,-7.5,-10.3,-4.8,.3,3,52
108,2018-01-11,-11.1,-13.6,-7.4,,2.8,49.8
108,2018-01-12,-10.2,-15.3,-5.4,0,1.7,35.4
108,2018-01-13,-4.4,-6.6,-1.2,.4,.8,67.3
108,2018-01-14,.6,-4.4,5.4,,1.2,64.1
108,2018-01-15,4.7,1.8,7.7,.2,1.4,63.9
108,2018-01-16,3.5,.1,6.8,0,.7,59.1
108,2018-01-17,4.5,2.4,8.7,,1.2,64.1
108,2018-01-18,2.1,.3,4.5,0,1.9,59.6
108,2018-01-19,1,-2.5,5.5,,1.6,43
108,2018-01-20,2.2,-1,6.9,,1.6,57.6
108,2018-01-21,.4,-3.7,5.5,,1,36.6
108,2018-01-22,.2,-5.3,4,3.3,1.5,56.5
108,2018-01-23,-11.7,-14.6,-5.3,,3.7,42
108,2018-01-24,-14.2,-16.3,-10.7,,3.4,31.6
108,2018-01-25,-14,-16.4,-9.5,,2.8,32.6
108,2018-01-26,-14.8,-17.8,-10.7,,2.6,34.9
108,2018-01-27,-9.9,-15.9,-3.5,,1.4,37.4
108,2018-01-28,-6.3,-9.3,-1.2,,2.6,36
108,2018-01-29,-8.5,-11.6,-4.7,,2.7,35
108,2018-01-30,-5.3,-11.4,-.8,2.9,1.3,62
108,2018-01-31,-2.6,-5.2,0,0,1.6,54.5
108,2018-02-01,-4,-8.8,1.2,,1.6,44.1
108,2018-02-02,-2.4,-7.6,3.8,,1.6,51.1
108,2018-02-03,-7.3,-10.4,-2.1,.5,3.8,47
108,2018-02-04,-9.5,-12.8,-5.2,,3.1,40.9
108,2018-02-05,-9.4,-11.8,-5.1,,3,37.8
108,2018-02-06,-10.1,-12.8,-5.8,,3.1,36.5
108,2018-02-07,-8,-13.4,-1.6,,1.5,39.8
108,2018-02-08,-4.4,-9.7,2,,1.2,43.3
108,2018-02-09,.4,-5.3,6.1,,1.1,43.9
108,2018-02-10,-.5,-6.9,3.2,,3,47.4
108,2018-02-11,-6.1,-9.5,-2.2,0,2.7,42.5
108,2018-02-12,-5.8,-9.6,-1.8,0,2.7,40.8
108,2018-02-13,-.8,-7.4,4.3,,2.7,54.5
108,2018-02-14,3.5,-.7,8.7,,2.6,51
108,2018-02-15,-.7,-3.7,4,,2.5,28
108,2018-02-16,-1.1,-5.5,4.9,,2.1,40.1
108,2018-02-17,-3,-7.1,1.4,,2.9,25.6
108,2018-02-18,-.4,-4.9,5.2,,1.3,26.9
108,2018-02-19,1.8,-1.9,6.8,,1.5,48.6
108,2018-02-20,.9,-2.4,5.5,,2.5,41
108,2018-02-21,-.9,-4.5,4.4,,2.3,31.5
108,2018-02-22,1.3,-3.9,5.4,.4,2.2,59
108,2018-02-23,4.2,-.3,8.6,3.7,1.9,81.1
108,2018-02-24,2.4,-1.1,7.2,,2.1,49.4
108,2018-02-25,1.9,-1.6,7.9,,1.7,40.6
108,2018-02-26,3.1,-3.2,10.4,,1.4,43.1
108,2018-02-27,4.2,.6,6.9,,.9,48.8
108,2018-02-28,4.6,1.8,7.8,25,2,73.3
108,2018-03-01,-.2,-4.3,3,.5,3.8,61.9
108,2018-03-02,-.7,-6.7,5.4,,1.5,34
108,2018-03-03,7.9,-.1,16.2,0,1.5,38.1
108,2018-03-04,9.8,7.6,11.9,11.5,1.2,89.1
108,2018-03-05,5.5,1.3,11.4,3.5,2,67.5
108,2018-03-06,4.5,-1.1,10.9,,1.6,46.8
108,2018-03-07,6.4,2.2,10.7,.5,1.8,54
108,2018-03-08,4.6,2.7,9.7,4,1.9,76
108,2018-03-09,4.5,1.4,9.6,,1.5,63.3
108,2018-03-10,4.6,.7,9.7,,2,65.8
108,2018-03-11,6.4,2.7,12.2,,2,51.3
108,2018-03-12,8,2.2,15.5,,1.4,45.8
108,2018-03-13,12.4,5.2,18.8,,1.8,60.5
108,2018-03-14,17,13.6,22.1,,2.3,58.8
108,2018-03-15,12.4,8.4,16.6,27,2.1,92.1
108,2018-03-16,7.1,3.6,12.2,,1.9,46.9
108,2018-03-17,6.6,.5,14,,1.5,48
108,2018-03-18,8.2,5.4,12.5,.5,1.2,55.9
108,2018-03-19,8,6.2,10.4,1,2.5,64.5
108,2018-03-20,4.7,1.6,9.1,,3.4,39.9
108,2018-03-21,2.1,1.1,5.3,1,1.7,64.1
108,2018-03-22,4.9,.6,11.6,,2.2,61.5
108,2018-03-23,6.1,1.8,12.5,,2,55.3
108,2018-03-24,7.6,4,13.1,,2.1,61.9
108,2018-03-25,9.6,4.6,16.9,,1.7,65.6
108,2018-03-26,11,5.3,18.1,,1.9,64.5
108,2018-03-27,13.3,7.7,20,,1.6,61.1
108,2018-03-28,14,9.4,19,,2.2,66.4
108,2018-03-29,15.4,11.8,21.1,,1.6,66.3
108,2018-03-30,14.8,9.8,21.9,,1.7,55.6
108,2018-03-31,14,9.3,20.1,,1.9,52.9
108,2018-04-01,15.6,11.7,18.5,,1.5,68.8
108,2018-04-02,18.4,14.9,23.7,,1.9,64
108,2018-04-03,17.8,14.9,21.2,.1,2.1,72.9
108,2018-04-04,13.4,9.5,18.2,18.5,1.9,67
108,2018-04-05,7.6,6.7,9.5,10.5,2,90.6
108,2018-04-06,5.8,3,8.6,6.5,3.1,71.6
108,2018-04-07,4.2,1.4,8.6,.2,4.1,45.5
108,2018-04-08,3.9,.6,7.9,3,1.8,59.6
